Dosya_Adi,Payload_Bit,Toplam_Piksel,Guvenli_Piksel(K),Daralma_Orani(%),ABC_Suresi_sn,MSE,PSNR_dB,SSIM
5277.pgm,10000,65536,13376,20.4102,0.02564,0.076981,59.267,0.999818
5278.pgm,10000,65536,24704,37.6953,0.05157,0.076492,59.2946,0.999856
5286.pgm,10000,65536,35952,54.8584,0.0437,0.077164,59.2567,0.999815
5287.pgm,10000,65536,32112,48.999,0.02526,0.077606,59.2318,0.999854
5288.pgm,10000,65536,36848,56.2256,0.02319,0.075821,59.3329,0.999776
5290.pgm,10000,65536,21440,32.7148,0.02019,0.077072,59.2618,0.999775
5291.pgm,10000,65536,25200,38.4521,0.01987,0.076797,59.2773,0.999791
5292.pgm,10000,65536,14400,21.9727,0.01846,0.076645,59.286,0.999664
5293.pgm,10000,65536,12816,19.5557,0.0206,0.075134,59.3724,0.99963
5301.pgm,10000,65536,15232,23.2422,0.03319,0.077164,59.2567,0.999622
5303.pgm,10000,65536,17280,26.3672,0.19699,0.076584,59.2894,0.999806
5304.pgm,10000,65536,16400,25.0244,0.04195,0.07637,59.3016,0.999828
5305.pgm,10000,65536,14208,21.6797,0.02532,0.077148,59.2575,0.999808
5306.pgm,10000,65536,15632,23.8525,0.02194,0.076904,59.2713,0.999804
5307.pgm,10000,65536,16448,25.0977,0.02065,0.076508,59.2938,0.999717
5308.pgm,10000,65536,34128,52.0752,0.02164,0.074966,59.3821,0.999881
5309.pgm,10000,65536,11264,17.1875,0.0191,0.07547,59.3531,0.999756
5310.pgm,10000,65536,11200,17.0898,0.01863,0.075333,59.361,0.999746
