Dosya_Adi,Payload_Bit,Toplam_Piksel,Guvenli_Piksel(K),Daralma_Orani(%),ABC_Suresi_sn,MSE,PSNR_dB,SSIM
1.pgm,10000,65536,23952,36.5479,0.02284,0.074661,59.3999,0.99985
10.pgm,10000,65536,35296,53.8574,0.02444,0.075546,59.3487,0.999864
100.pgm,10000,65536,31616,48.2422,0.02491,0.076462,59.2964,0.999768
1000.pgm,10000,65536,27120,41.3818,0.02621,0.076157,59.3137,0.999875
10000.pgm,10000,65536,47728,72.8271,0.04616,0.075989,59.3233,0.99988
1001.pgm,10000,65536,12736,19.4336,0.19724,0.075333,59.361,0.999703
1002.pgm,10000,65536,24144,36.8408,0.05516,0.07663,59.2868,0.999902
1003.pgm,10000,65536,38816,59.2285,0.03417,0.078049,59.2071,0.999803
1004.pgm,10000,65536,13168,20.0928,0.02452,0.074615,59.4025,0.999834
1005.pgm,10000,65536,37152,56.6895,0.02604,0.077896,59.2156,0.999875
1006.pgm,10000,65536,62304,95.0684,0.02797,0.077194,59.255,0.999977
1007.pgm,10000,65536,47536,72.5342,0.02652,0.075912,59.3277,0.999874
1008.pgm,10000,65536,42144,64.3066,0.02697,0.076416,59.299,0.999889
1009.pgm,10000,65536,37888,57.8125,0.0273,0.075974,59.3242,0.999851
101.pgm,10000,65536,55440,84.5947,0.03707,0.075653,59.3425,0.999906
1010.pgm,10000,65536,18096,27.6123,0.19426,0.075363,59.3592,0.999741
1011.pgm,10000,65536,27904,42.5781,0.07021,0.076019,59.3216,0.999851
1012.pgm,10000,65536,37120,56.6406,0.03459,0.076645,59.286,0.999876
1013.pgm,10000,65536,37696,57.5195,0.02911,0.076248,59.3085,0.99988
1014.pgm,10000,65536,40112,61.2061,0.02699,0.07515,59.3715,0.99988
1015.pgm,10000,65536,39792,60.7178,0.02642,0.076782,59.2782,0.999852
1018.pgm,10000,65536,17168,26.1963,0.02974,0.07637,59.3016,0.999841
1019.pgm,10000,65536,31648,48.291,0.20189,0.076782,59.2782,0.999876
102.pgm,10000,65536,63584,97.0215,0.06459,0.075745,59.3373,0.999944
1020.pgm,10000,65536,35184,53.6865,0.03107,0.075424,59.3557,0.99987
1021.pgm,10000,65536,49776,75.9521,0.0286,0.076141,59.3146,0.999811
1022.pgm,10000,65536,50640,77.2705,0.02594,0.074997,59.3804,0.999732
1023.pgm,10000,65536,33248,50.7324,0.02236,0.075378,59.3583,0.999814
1024.pgm,10000,65536,49904,76.1475,0.02554,0.07666,59.2851,0.999861
1025.pgm,10000,65536,36144,55.1514,0.02527,0.077225,59.2532,0.999853
1026.pgm,10000,65536,25488,38.8916,0.0268,0.076355,59.3024,0.999864
1027.pgm,10000,65536,13424,20.4834,0.03021,0.07489,59.3866,0.999789
1028.pgm,10000,65536,26336,40.1855,0.17496,0.077103,59.2601,0.999792
1029.pgm,10000,65536,29168,44.5068,0.07631,0.076324,59.3042,0.999845
103.pgm,10000,65536,21648,33.0322,0.04703,0.077362,59.2455,0.999833
1030.pgm,10000,65536,18944,28.9062,0.03278,0.07608,59.3181,0.999828
1031.pgm,10000,65536,10176,15.5273,0.03064,0.074814,59.391,0.999824
1032.pgm,10000,65536,36128,55.127,0.03396,0.076569,59.2903,0.999924
1033.pgm,10000,65536,27008,41.2109,0.06917,0.076447,59.2972,0.999844
1035.pgm,10000,65536,23312,35.5713,0.1037,0.076202,59.3111,0.999811
1036.pgm,10000,65536,36144,55.1514,0.0363,0.077179,59.2558,0.999757
1039.pgm,10000,65536,39824,60.7666,0.03022,0.076355,59.3024,0.999839
104.pgm,10000,65536,24368,37.1826,0.02705,0.075241,59.3663,0.999829
1040.pgm,10000,65536,35168,53.6621,0.0287,0.074997,59.3804,0.999904
1041.pgm,10000,65536,56624,86.4014,0.03859,0.076859,59.2739,0.999955
1042.pgm,10000,65536,12048,18.3838,0.18806,0.076614,59.2877,0.999781
1043.pgm,10000,65536,33344,50.8789,0.06129,0.076523,59.2929,0.999853
1045.pgm,10000,65536,12224,18.6523,0.03067,0.07489,59.3866,0.999791
1046.pgm,10000,65536,14096,21.5088,0.02488,0.075089,59.3751,0.999671
1047.pgm,10000,65536,20320,31.0059,0.02397,0.07695,59.2687,0.999777
1048.pgm,10000,65536,20368,31.0791,0.02406,0.077469,59.2395,0.999799
1049.pgm,10000,65536,25824,39.4043,0.03096,0.077118,59.2593,0.999805
105.pgm,10000,65536,20992,32.0312,0.16583,0.076965,59.2679,0.999864
1050.pgm,10000,65536,59584,90.918,0.08463,0.077621,59.231,0.999931
1051.pgm,10000,65536,13968,21.3135,0.03016,0.076126,59.3155,0.999662
1052.pgm,10000,65536,30816,47.0215,0.02777,0.077499,59.2378,0.999849
1053.pgm,10000,65536,17936,27.3682,0.02793,0.076157,59.3137,0.999796
1054.pgm,10000,65536,19744,30.127,0.04142,0.075439,59.3548,0.999778
1055.pgm,10000,65536,51552,78.6621,0.27774,0.075607,59.3452,0.999784
1056.pgm,10000,65536,17008,25.9521,0.04439,0.075394,59.3575,0.99977
1057.pgm,10000,65536,21200,32.3486,0.02867,0.0755,59.3513,0.999773
1058.pgm,10000,65536,13376,20.4102,0.02375,0.075821,59.3329,0.999768
1059.pgm,10000,65536,40080,61.1572,0.02508,0.077911,59.2148,0.999839
106.pgm,10000,65536,41040,62.6221,0.03798,0.07634,59.3033,0.999875
1060.pgm,10000,65536,32640,49.8047,0.06203,0.076797,59.2773,0.999761
1061.pgm,10000,65536,45568,69.5312,0.23062,0.076111,59.3163,0.999789
1063.pgm,10000,65536,25648,39.1357,0.03523,0.074219,59.4257,0.999784
1064.pgm,10000,65536,41296,63.0127,0.0292,0.076294,59.3059,0.999898
1065.pgm,10000,65536,37136,56.665,0.02709,0.076813,59.2765,0.999822
1066.pgm,10000,65536,12928,19.7266,0.02668,0.078232,59.197,0.999766
1067.pgm,10000,65536,25056,38.2324,0.20324,0.075531,59.3496,0.999847
1068.pgm,10000,65536,17248,26.3184,0.0677,0.075043,59.3777,0.999892
1069.pgm,10000,65536,48320,73.7305,0.03618,0.076614,59.2877,0.999902
107.pgm,10000,65536,55072,84.0332,0.02966,0.076157,59.3137,0.999834
1070.pgm,10000,65536,52144,79.5654,0.02618,0.077347,59.2464,0.999872
1071.pgm,10000,65536,27568,42.0654,0.02257,0.077179,59.2558,0.999746
1072.pgm,10000,65536,12912,19.7021,0.0211,0.076385,59.3007,0.99961
1073.pgm,10000,65536,23952,36.5479,0.02512,0.075592,59.346,0.99981
1074.pgm,10000,65536,36960,56.3965,0.03303,0.076157,59.3137,0.999886
1075.pgm,10000,65536,36192,55.2246,0.21932,0.076447,59.2972,0.99976
1076.pgm,10000,65536,18832,28.7354,0.06403,0.076477,59.2955,0.999785
1077.pgm,10000,65536,35648,54.3945,0.0345,0.077225,59.2532,0.999851
1078.pgm,10000,65536,18848,28.7598,0.0258,0.074387,59.4159,0.999764
1079.pgm,10000,65536,30224,46.1182,0.02433,0.076462,59.2964,0.999802
108.pgm,10000,65536,56576,86.3281,0.0276,0.07785,59.2182,0.999925
1080.pgm,10000,65536,33488,51.0986,0.02936,0.07695,59.2687,0.999803
1081.pgm,10000,65536,34640,52.8564,0.16791,0.075958,59.3251,0.999896
1082.pgm,10000,65536,36640,55.9082,0.07702,0.076584,59.2894,0.999883
1083.pgm,10000,65536,44512,67.9199,0.03634,0.076782,59.2782,0.999854
1084.pgm,10000,65536,22656,34.5703,0.02619,0.076767,59.2791,0.99979
1085.pgm,10000,65536,45152,68.8965,0.02646,0.077698,59.2267,0.999826
1086.pgm,10000,65536,12592,19.2139,0.02454,0.078278,59.1944,0.999813
1087.pgm,10000,65536,38928,59.3994,0.04195,0.075333,59.361,0.999842
1088.pgm,10000,65536,16160,24.6582,0.23922,0.076019,59.3216,0.999809
1089.pgm,10000,65536,23408,35.7178,0.05652,0.076508,59.2938,0.999789
109.pgm,10000,65536,27520,41.9922,0.0325,0.077042,59.2635,0.99986
1090.pgm,10000,65536,35536,54.2236,0.02798,0.075821,59.3329,0.999809
1092.pgm,10000,65536,31536,48.1201,0.02554,0.075256,59.3654,0.999852
1094.pgm,10000,65536,38720,59.082,0.02726,0.076828,59.2756,0.99971
1095.pgm,10000,65536,24464,37.3291,0.03252,0.07785,59.2182,0.999707
1096.pgm,10000,65536,23280,35.5225,0.13885,0.078033,59.208,0.999877
1097.pgm,10000,65536,24416,37.2559,0.09172,0.076157,59.3137,0.999769
1098.pgm,10000,65536,31072,47.4121,0.0356,0.077164,59.2567,0.999827
1099.pgm,10000,65536,45152,68.8965,0.03747,0.076218,59.3102,0.999901
11.pgm,10000,65536,31472,48.0225,0.03623,0.075897,59.3285,0.999839
110.pgm,10000,65536,43488,66.3574,0.13855,0.075912,59.3277,0.999905
1100.pgm,10000,65536,31440,47.9736,0.0802,0.078339,59.191,0.999818
1102.pgm,10000,65536,15232,23.2422,0.0315,0.07579,59.3347,0.99987
1103.pgm,10000,65536,40912,62.4268,0.02807,0.075424,59.3557,0.999868
1104.pgm,10000,65536,48128,73.4375,0.03109,0.075684,59.3408,0.999675
1105.pgm,10000,65536,37040,56.5186,0.03795,0.076416,59.299,0.999897
1106.pgm,10000,65536,23728,36.2061,0.15537,0.075943,59.3259,0.999819
1107.pgm,10000,65536,20496,31.2744,0.11451,0.076813,59.2765,0.999814
1108.pgm,10000,65536,29504,45.0195,0.04494,0.075256,59.3654,0.999819
1109.pgm,10000,65536,18432,28.125,0.0293,0.075607,59.3452,0.999866
111.pgm,10000,65536,35888,54.7607,0.03502,0.076859,59.2739,0.99988
1110.pgm,10000,65536,56448,86.1328,0.25716,0.07576,59.3364,0.999872
1111.pgm,10000,65536,24320,37.1094,0.04731,0.076462,59.2964,0.99974
1112.pgm,10000,65536,24880,37.9639,0.02942,0.077042,59.2635,0.999693
1113.pgm,10000,65536,23040,35.1562,0.02714,0.077911,59.2148,0.999878
1114.pgm,10000,65536,22416,34.2041,0.02654,0.077133,59.2584,0.99966
1115.pgm,10000,65536,51712,78.9062,0.03952,0.077271,59.2507,0.999779
1116.pgm,10000,65536,32928,50.2441,0.231,0.077438,59.2412,0.999798
1117.pgm,10000,65536,36160,55.1758,0.05894,0.076721,59.2817,0.99988
1118.pgm,10000,65536,31408,47.9248,0.02987,0.076355,59.3024,0.999867
1119.pgm,10000,65536,55376,84.4971,0.02898,0.076645,59.286,0.999911
112.pgm,10000,65536,29424,44.8975,0.02516,0.075928,59.3268,0.999864
1120.pgm,10000,65536,17680,26.9775,0.02961,0.07457,59.4052,0.99983
1121.pgm,10000,65536,50768,77.4658,0.26619,0.07692,59.2704,0.999879
1122.pgm,10000,65536,14832,22.6318,0.06402,0.076508,59.2938,0.999789
1123.pgm,10000,65536,46768,71.3623,0.0354,0.075424,59.3557,0.999877
1124.pgm,10000,65536,17024,25.9766,0.02655,0.076126,59.3155,0.999804
1125.pgm,10000,65536,10336,15.7715,0.03015,0.075989,59.3233,0.999756
1126.pgm,10000,65536,34480,52.6123,0.1322,0.076935,59.2696,0.999884
1127.pgm,10000,65536,24144,36.8408,0.10286,0.078033,59.208,0.999832
1128.pgm,10000,65536,41760,63.7207,0.03862,0.075485,59.3522,0.999823
1129.pgm,10000,65536,15120,23.0713,0.0272,0.076767,59.2791,0.999702
113.pgm,10000,65536,25424,38.7939,0.02732,0.076508,59.2938,0.999797
1130.pgm,10000,65536,34256,52.2705,0.03042,0.076233,59.3094,0.999909
1131.pgm,10000,65536,33408,50.9766,0.27499,0.075119,59.3733,0.999839
1132.pgm,10000,65536,39840,60.791,0.07976,0.07605,59.3198,0.999888
1133.pgm,10000,65536,59616,90.9668,0.04084,0.076324,59.3042,0.99993
1134.pgm,10000,65536,29264,44.6533,0.02973,0.076981,59.267,0.999866
1135.pgm,10000,65536,32032,48.877,0.02833,0.076645,59.286,0.999827
1136.pgm,10000,65536,37984,57.959,0.03355,0.076721,59.2817,0.999697
1137.pgm,10000,65536,12592,19.2139,0.07439,0.076645,59.286,0.999805
1138.pgm,10000,65536,24784,37.8174,0.11082,0.07637,59.3016,0.99982
1139.pgm,10000,65536,18336,27.9785,0.03655,0.075836,59.332,0.999843
114.pgm,10000,65536,29952,45.7031,0.03213,0.075882,59.3294,0.999845
1140.pgm,10000,65536,34192,52.1729,0.02617,0.075317,59.3619,0.999877
1141.pgm,10000,65536,10688,16.3086,0.02822,0.077606,59.2318,0.999779
1142.pgm,10000,65536,16736,25.5371,0.03806,0.076141,59.3146,0.999849
1143.pgm,10000,65536,44608,68.0664,0.25341,0.07518,59.3698,0.999865
1144.pgm,10000,65536,30752,46.9238,0.0599,0.076035,59.3207,0.999814
1145.pgm,10000,65536,20400,31.1279,0.03001,0.075958,59.3251,0.999735
1146.pgm,10000,65536,30400,46.3867,0.02892,0.076523,59.2929,0.999724
1147.pgm,10000,65536,25744,39.2822,0.03921,0.076599,59.2886,0.99983
1148.pgm,10000,65536,43264,66.0156,0.24093,0.07608,59.3181,0.99987
1.pgm,10000,65536,23952,36.5479,0.04494,0.077377,59.2447,0.999841
10.pgm,10000,65536,35296,53.8574,0.23994,0.075348,59.3601,0.99986
100.pgm,10000,65536,31616,48.2422,0.05847,0.077591,59.2327,0.999767
1000.pgm,10000,65536,27120,41.3818,0.02985,0.076569,59.2903,0.999877
10000.pgm,10000,65536,47728,72.8271,0.02873,0.076782,59.2782,0.99988
1001.pgm,10000,65536,12736,19.4336,0.02125,0.075882,59.3294,0.999704
1002.pgm,10000,65536,24144,36.8408,0.02611,0.077408,59.243,0.999901
1003.pgm,10000,65536,38816,59.2285,0.03621,0.075348,59.3601,0.999815
1004.pgm,10000,65536,13168,20.0928,0.23499,0.075317,59.3619,0.999829
1005.pgm,10000,65536,37152,56.6895,0.06978,0.077133,59.2584,0.999875
1006.pgm,10000,65536,62304,95.0684,0.03371,0.076355,59.3024,0.999976
1007.pgm,10000,65536,47536,72.5342,0.02704,0.077087,59.261,0.999874
1008.pgm,10000,65536,42144,64.3066,0.02485,0.075012,59.3795,0.99989
1009.pgm,10000,65536,37888,57.8125,0.02568,0.077362,59.2455,0.999845
101.pgm,10000,65536,55440,84.5947,0.03134,0.075287,59.3636,0.999905
1010.pgm,10000,65536,18096,27.6123,0.03584,0.075058,59.3768,0.99974
1011.pgm,10000,65536,27904,42.5781,0.22495,0.076859,59.2739,0.999849
1012.pgm,10000,65536,37120,56.6406,0.04578,0.07637,59.3016,0.999878
1013.pgm,10000,65536,37696,57.5195,0.02879,0.075821,59.3329,0.99988
1014.pgm,10000,65536,40112,61.2061,0.02496,0.076721,59.2817,0.999876
1015.pgm,10000,65536,39792,60.7178,0.02527,0.076096,59.3172,0.999855
1018.pgm,10000,65536,17168,26.1963,0.03688,0.077576,59.2335,0.999837
1019.pgm,10000,65536,31648,48.291,0.03894,0.077209,59.2541,0.999869
102.pgm,10000,65536,63584,97.0215,0.04703,0.077362,59.2455,0.999943
1020.pgm,10000,65536,35184,53.6865,0.20597,0.074799,59.3919,0.999874
1021.pgm,10000,65536,49776,75.9521,0.06769,0.076859,59.2739,0.99981
1022.pgm,10000,65536,50640,77.2705,0.03254,0.075348,59.3601,0.999732
1023.pgm,10000,65536,33248,50.7324,0.02488,0.076248,59.3085,0.999812
1024.pgm,10000,65536,49904,76.1475,0.0289,0.074997,59.3804,0.999865
1025.pgm,10000,65536,36144,55.1514,0.03057,0.075424,59.3557,0.999853
1026.pgm,10000,65536,25488,38.8916,0.07359,0.075287,59.3636,0.999868
1027.pgm,10000,65536,13424,20.4834,0.1038,0.076569,59.2903,0.999784
1028.pgm,10000,65536,26336,40.1855,0.03917,0.07634,59.3033,0.999793
1029.pgm,10000,65536,29168,44.5068,0.02946,0.076599,59.2886,0.999845
103.pgm,10000,65536,21648,33.0322,0.02692,0.07695,59.2687,0.999836
1030.pgm,10000,65536,18944,28.9062,0.029,0.075165,59.3707,0.999829
1031.pgm,10000,65536,10176,15.5273,0.04969,0.07634,59.3033,0.99982
1032.pgm,10000,65536,36128,55.127,0.1967,0.075775,59.3355,0.999927
1033.pgm,10000,65536,27008,41.2109,0.04149,0.076309,59.305,0.999841
1035.pgm,10000,65536,23312,35.5713,0.03227,0.076813,59.2765,0.999811
1036.pgm,10000,65536,36144,55.1514,0.0339,0.074982,59.3813,0.99976
1039.pgm,10000,65536,39824,60.7666,0.05421,0.078461,59.1843,0.999833
104.pgm,10000,65536,24368,37.1826,0.1818,0.076599,59.2886,0.999825
1040.pgm,10000,65536,35168,53.6621,0.04187,0.076172,59.3129,0.999902
1041.pgm,10000,65536,56624,86.4014,0.0348,0.075928,59.3268,0.999957
1042.pgm,10000,65536,12048,18.3838,0.02534,0.075211,59.368,0.999785
1043.pgm,10000,65536,33344,50.8789,0.02697,0.076599,59.2886,0.999851
1045.pgm,10000,65536,12224,18.6523,0.02455,0.076462,59.2964,0.999785
1046.pgm,10000,65536,14096,21.5088,0.0304,0.078171,59.2004,0.999659
1047.pgm,10000,65536,20320,31.0059,0.1947,0.074921,59.3848,0.999785
1048.pgm,10000,65536,20368,31.0791,0.05595,0.077591,59.2327,0.999801
1049.pgm,10000,65536,25824,39.4043,0.03017,0.075928,59.3268,0.999807
105.pgm,10000,65536,20992,32.0312,0.0241,0.076889,59.2722,0.999865
1050.pgm,10000,65536,59584,90.918,0.02626,0.075928,59.3268,0.999932
1051.pgm,10000,65536,13968,21.3135,0.02025,0.07724,59.2524,0.999662
1052.pgm,10000,65536,30816,47.0215,0.02995,0.076157,59.3137,0.99985
1053.pgm,10000,65536,17936,27.3682,0.03617,0.076675,59.2842,0.999794
1054.pgm,10000,65536,19744,30.127,0.13184,0.076355,59.3024,0.999776
1055.pgm,10000,65536,51552,78.6621,0.09007,0.07724,59.2524,0.999776
1056.pgm,10000,65536,17008,25.9521,0.03017,0.076843,59.2747,0.999768
1057.pgm,10000,65536,21200,32.3486,0.02499,0.075653,59.3425,0.999772
1058.pgm,10000,65536,13376,20.4102,0.03337,0.076263,59.3076,0.999768
1059.pgm,10000,65536,40080,61.1572,0.04978,0.076263,59.3076,0.999839
106.pgm,10000,65536,41040,62.6221,0.22835,0.077301,59.249,0.999871
1060.pgm,10000,65536,32640,49.8047,0.07797,0.076462,59.2964,0.999758
1061.pgm,10000,65536,45568,69.5312,0.0419,0.076126,59.3155,0.999785
1063.pgm,10000,65536,25648,39.1357,0.02853,0.076706,59.2825,0.999776
1064.pgm,10000,65536,41296,63.0127,0.02926,0.076309,59.305,0.999895
1065.pgm,10000,65536,37136,56.665,0.0353,0.077179,59.2558,0.999819
1066.pgm,10000,65536,12928,19.7266,0.13849,0.07695,59.2687,0.999771
1067.pgm,10000,65536,25056,38.2324,0.07773,0.077087,59.261,0.999844
1068.pgm,10000,65536,17248,26.3184,0.03744,0.076065,59.319,0.999891
1069.pgm,10000,65536,48320,73.7305,0.03305,0.0755,59.3513,0.999903
107.pgm,10000,65536,55072,84.0332,0.03196,0.076019,59.3216,0.999833
1070.pgm,10000,65536,52144,79.5654,0.03118,0.076248,59.3085,0.999876
1071.pgm,10000,65536,27568,42.0654,0.03499,0.07666,59.2851,0.999746
1072.pgm,10000,65536,12912,19.7021,0.22008,0.075562,59.3478,0.999614
1073.pgm,10000,65536,23952,36.5479,0.0503,0.075562,59.3478,0.99981
1074.pgm,10000,65536,36960,56.3965,0.03008,0.076233,59.3094,0.999884
1075.pgm,10000,65536,36192,55.2246,0.0282,0.077576,59.2335,0.999757
1076.pgm,10000,65536,18832,28.7354,0.03069,0.076843,59.2747,0.999783
1077.pgm,10000,65536,35648,54.3945,0.22325,0.07753,59.2361,0.999849
1078.pgm,10000,65536,18848,28.7598,0.05151,0.075089,59.3751,0.999758
1079.pgm,10000,65536,30224,46.1182,0.02799,0.075073,59.376,0.999807
108.pgm,10000,65536,56576,86.3281,0.04398,0.07782,59.2199,0.999929
1080.pgm,10000,65536,33488,51.0986,0.04776,0.076035,59.3207,0.999804
1081.pgm,10000,65536,34640,52.8564,0.21415,0.078094,59.2046,0.999892
1082.pgm,10000,65536,36640,55.9082,0.07861,0.07692,59.2704,0.999885
1083.pgm,10000,65536,44512,67.9199,0.03565,0.076065,59.319,0.999857
1084.pgm,10000,65536,22656,34.5703,0.02582,0.076736,59.2808,0.999793
1085.pgm,10000,65536,45152,68.8965,0.02777,0.077072,59.2618,0.99983
1086.pgm,10000,65536,12592,19.2139,0.0258,0.075851,59.3312,0.999821
1087.pgm,10000,65536,38928,59.3994,0.04772,0.076996,59.2661,0.999843
1088.pgm,10000,65536,16160,24.6582,0.19536,0.07637,59.3016,0.999811
1089.pgm,10000,65536,23408,35.7178,0.05745,0.076706,59.2825,0.999786
109.pgm,10000,65536,27520,41.9922,0.03135,0.077408,59.243,0.999856
1090.pgm,10000,65536,35536,54.2236,0.03076,0.07605,59.3198,0.999803
1092.pgm,10000,65536,31536,48.1201,0.09669,0.077621,59.231,0.999848
1094.pgm,10000,65536,38720,59.082,0.07819,0.076538,59.292,0.999706
1095.pgm,10000,65536,24464,37.3291,0.03218,0.076599,59.2886,0.999714
1096.pgm,10000,65536,23280,35.5225,0.02754,0.075897,59.3285,0.999881
1097.pgm,10000,65536,24416,37.2559,0.02504,0.076492,59.2946,0.999773
1098.pgm,10000,65536,31072,47.4121,0.02592,0.075287,59.3636,0.999832
1099.pgm,10000,65536,45152,68.8965,0.04037,0.075668,59.3417,0.999901
11.pgm,10000,65536,31472,48.0225,0.25372,0.076645,59.286,0.999836
110.pgm,10000,65536,43488,66.3574,0.06206,0.075272,59.3645,0.999907
1100.pgm,10000,65536,31440,47.9736,0.03085,0.076965,59.2679,0.99982
1102.pgm,10000,65536,15232,23.2422,0.02689,0.076126,59.3155,0.999868
1103.pgm,10000,65536,40912,62.4268,0.03107,0.076126,59.3155,0.999868
1104.pgm,10000,65536,48128,73.4375,0.04701,0.076111,59.3163,0.999671
1105.pgm,10000,65536,37040,56.5186,0.16208,0.075409,59.3566,0.999898
1106.pgm,10000,65536,23728,36.2061,0.03317,0.077972,59.2114,0.999817
1107.pgm,10000,65536,20496,31.2744,0.02614,0.075272,59.3645,0.999816
1108.pgm,10000,65536,29504,45.0195,0.02769,0.07695,59.2687,0.999812
1109.pgm,10000,65536,18432,28.125,0.02592,0.07515,59.3715,0.999867
111.pgm,10000,65536,35888,54.7607,0.03072,0.076599,59.2886,0.99988
1110.pgm,10000,65536,56448,86.1328,0.25923,0.076614,59.2877,0.99987
1111.pgm,10000,65536,24320,37.1094,0.06292,0.075684,59.3408,0.999746
1112.pgm,10000,65536,24880,37.9639,0.03081,0.075317,59.3619,0.999704
1113.pgm,10000,65536,23040,35.1562,0.02552,0.074081,59.4337,0.999885
1114.pgm,10000,65536,22416,34.2041,0.02412,0.076462,59.2964,0.999659
1115.pgm,10000,65536,51712,78.9062,0.0283,0.076202,59.3111,0.999784
1116.pgm,10000,65536,32928,50.2441,0.02992,0.076569,59.2903,0.999797
1117.pgm,10000,65536,36160,55.1758,0.26495,0.076279,59.3068,0.999884
1118.pgm,10000,65536,31408,47.9248,0.05781,0.076477,59.2955,0.999868
1119.pgm,10000,65536,55376,84.4971,0.03577,0.077484,59.2387,0.999913
112.pgm,10000,65536,29424,44.8975,0.02623,0.075928,59.3268,0.999862
1120.pgm,10000,65536,17680,26.9775,0.02464,0.077896,59.2156,0.999823
1121.pgm,10000,65536,50768,77.4658,0.03955,0.075775,59.3355,0.999879
1122.pgm,10000,65536,14832,22.6318,0.23916,0.074448,59.4123,0.999796
1123.pgm,10000,65536,46768,71.3623,0.04976,0.075378,59.3583,0.999877
1124.pgm,10000,65536,17024,25.9766,0.02774,0.07663,59.2868,0.999807
1125.pgm,10000,65536,10336,15.7715,0.02601,0.076614,59.2877,0.999757
1126.pgm,10000,65536,34480,52.6123,0.02923,0.076614,59.2877,0.999886
1127.pgm,10000,65536,24144,36.8408,0.03663,0.075485,59.3522,0.999835
1128.pgm,10000,65536,41760,63.7207,0.2374,0.077332,59.2472,0.999822
1129.pgm,10000,65536,15120,23.0713,0.05134,0.075058,59.3768,0.99971
113.pgm,10000,65536,25424,38.7939,0.02976,0.076813,59.2765,0.999794
1130.pgm,10000,65536,34256,52.2705,0.02801,0.07605,59.3198,0.999909
1131.pgm,10000,65536,33408,50.9766,0.02776,0.075562,59.3478,0.999839
1132.pgm,10000,65536,39840,60.791,0.03452,0.076218,59.3102,0.99989
1133.pgm,10000,65536,59616,90.9668,0.25703,0.076599,59.2886,0.999929
1134.pgm,10000,65536,29264,44.6533,0.05419,0.074234,59.4248,0.999871
1135.pgm,10000,65536,32032,48.877,0.02834,0.077118,59.2593,0.999824
1136.pgm,10000,65536,37984,57.959,0.02662,0.07782,59.2199,0.999696
1137.pgm,10000,65536,12592,19.2139,0.02436,0.077072,59.2618,0.999801
1138.pgm,10000,65536,24784,37.8174,0.03229,0.075134,59.3724,0.999822
1139.pgm,10000,65536,18336,27.9785,0.21485,0.075775,59.3355,0.999843
114.pgm,10000,65536,29952,45.7031,0.05394,0.076004,59.3224,0.999841
1140.pgm,10000,65536,34192,52.1729,0.02883,0.077362,59.2455,0.999877
1141.pgm,10000,65536,10688,16.3086,0.02389,0.076141,59.3146,0.999781
1142.pgm,10000,65536,16736,25.5371,0.0265,0.074875,59.3874,0.999851
1143.pgm,10000,65536,44608,68.0664,0.03944,0.077103,59.2601,0.999866
1144.pgm,10000,65536,30752,46.9238,0.21584,0.076019,59.3216,0.999815
1145.pgm,10000,65536,20400,31.1279,0.0508,0.075912,59.3277,0.999736
1146.pgm,10000,65536,30400,46.3867,0.0332,0.076141,59.3146,0.999724
1147.pgm,10000,65536,25744,39.2822,0.02688,0.075974,59.3242,0.999829
1148.pgm,10000,65536,43264,66.0156,0.03839,0.077255,59.2515,0.99987
1149.pgm,10000,65536,24672,37.6465,0.19083,0.075317,59.3619,0.999842
115.pgm,10000,65536,38176,58.252,0.06299,0.076187,59.312,0.999895
1150.pgm,10000,65536,17536,26.7578,0.02935,0.076447,59.2972,0.999817
1152.pgm,10000,65536,60352,92.0898,0.03028,0.075745,59.3373,0.999838
1153.pgm,10000,65536,22128,33.7646,0.02722,0.075897,59.3285,0.999809
1154.pgm,10000,65536,17312,26.416,0.10506,0.075989,59.3233,0.999769
1155.pgm,10000,65536,18544,28.2959,0.09364,0.076324,59.3042,0.999681
1156.pgm,10000,65536,59520,90.8203,0.04226,0.076172,59.3129,0.999854
1157.pgm,10000,65536,32320,49.3164,0.02985,0.077393,59.2438,0.999816
1159.pgm,10000,65536,44080,67.2607,0.03355,0.076248,59.3085,0.999832
1160.pgm,10000,65536,39920,60.9131,0.05466,0.076675,59.2842,0.999914
1161.pgm,10000,65536,14512,22.1436,0.1778,0.075714,59.339,0.999574
1162.pgm,10000,65536,10528,16.0645,0.04473,0.076019,59.3216,0.99982
1163.pgm,10000,65536,30736,46.8994,0.03187,0.074966,59.3821,0.999864
1164.pgm,10000,65536,35120,53.5889,0.02961,0.0755,59.3513,0.999867
1165.pgm,10000,65536,23328,35.5957,0.03062,0.077744,59.2242,0.999792
1166.pgm,10000,65536,22064,33.667,0.09436,0.075485,59.3522,0.999811
1167.pgm,10000,65536,26992,41.1865,0.09393,0.077423,59.2421,0.999873
1168.pgm,10000,65536,12432,18.9697,0.03246,0.07605,59.3198,0.999818
1169.pgm,10000,65536,57936,88.4033,0.03111,0.075897,59.3285,0.999791
117.pgm,10000,65536,41168,62.8174,0.02756,0.074188,59.4275,0.999861
1170.pgm,10000,65536,23808,36.3281,0.02635,0.076004,59.3224,0.999749
1171.pgm,10000,65536,21152,32.2754,0.0372,0.07605,59.3198,0.999895
1172.pgm,10000,65536,43248,65.9912,0.28119,0.075043,59.3777,0.999895
1173.pgm,10000,65536,26976,41.1621,0.06115,0.077347,59.2464,0.999812
